Date,AAPL,ACN,AIG,AMD,BAC,BK,BLK,C,CAT,CMCSA,CME,COP,CSCO,CVX,DAL,EBAY,FCX,FDX,GS,HD,IBM,ICE,INTC,IT,JNJ,LMT,MA,MCD,MS,MSCI,MSFT,NDAQ,NFLX,NKE,ORCL,PEP,PFE,QCOM,SBUX,STT,TGT,UPS,V,VZ,WBA,XOM
2012-01-01,60.342856999999995,51.830002,23.540001,5.43,6.18,20.450001,179.130005,28.549999,95.760002,12.345,46.799999,55.38991899999999,18.85,108.309998,8.32,12.891414,38.869999,85.489998,93.41999799999999,43.200001,182.53999299999998,23.002001,25.25,34.700001,64.83000200000001,79.980003,34.292,100.599998,15.9,33.099998,28.110001,24.43,12.327143,24.497498999999998,26.93,65.389999,21.57,56.16,23.360001,41.759997999999996,48.950001,73.480003,25.1775,38.330002,33.080002,85.120003
2012-01-08,59.972857999999995,53.25,24.950001,5.66,6.61,21.450001,186.570007,30.74,102.480003,12.69,46.900002,53.621345999999996,19.059998999999998,106.089996,8.85,12.887205,42.0,90.370003,98.959999,43.509997999999996,179.16000400000001,23.294001,25.139999,35.279999,65.260002,81.519997,33.908001,100.349998,16.629998999999998,32.689999,28.25,24.799999,13.482857000000001,24.575001,27.34,64.400002,21.84,56.540001000000004,23.68,42.939999,49.82,74.160004,25.184998999999998,38.919998,32.630001,84.879997
2012-01-15,60.042857999999995,55.810001,25.65,6.42,7.07,21.280001000000002,182.820007,29.639999,105.639999,13.035,47.976002,54.276939,19.92,106.889999,9.41,13.438552,43.099998,91.57,108.739998,44.509997999999996,188.520004,23.482,26.379998999999998,36.41,65.269997,82.779999,34.066002000000005,101.739998,18.389999,32.48,29.709999,25.34,14.32,25.440001000000002,28.709999,66.279999,21.9,57.73,24.075001,41.5,50.169998,75.41999799999999,25.145,38.970001,33.48,87.489998
2012-01-22,63.897144,56.419998,25.25,6.82,7.29,20.23,187.490005,30.870001000000002,111.279999,13.165,48.175999,52.90476999999999,19.559998999999998,103.959999,10.39,13.404882,46.130001,92.949997,111.769997,44.869999,190.46000700000002,23.290001,26.73,37.950001,65.559998,82.019997,34.879002,98.690002,18.559998999999998,32.860001000000004,29.23,25.99,17.684286,25.5275,28.42,65.809998,21.48,57.790001000000004,23.924999,39.060001,50.049999,76.040001,25.262501,37.209998999999996,34.23,85.83000200000001
2012-01-29,65.668571,58.310001,27.17,7.08,7.84,21.940001000000002,188.639999,33.540001000000004,113.940002,13.575,54.686001,53.712826,20.09,105.5,11.3,13.867845999999998,46.48,94.540001,117.529999,45.169998,193.639999,24.464001,26.74,38.830002,65.639999,84.589996,39.032001,100.010002,20.309998999999998,34.189999,30.24,25.07,18.061428,25.875,29.110001,66.660004,21.200001,61.060001,24.16,42.57,52.139998999999996,76.699997,26.7575,37.84,33.650002,84.91999799999999
2012-02-05,70.488571,56.959998999999996,26.66,7.05,8.07,21.42,190.0,32.93,111.75,13.59,58.318001,55.077369999999995,19.9,105.279999,10.89,13.901515,44.939999,95.269997,114.120003,45.330002,192.419998,26.966,26.700001,37.57,64.599998,87.510002,39.613997999999995,99.470001,19.66,34.84,30.5,26.0,17.704287,26.352501,28.5,63.950001,21.049999,61.73,24.41,40.66,52.43,76.690002,28.475,37.689999,34.540001000000004,83.800003
2012-02-12,71.73143,58.43,27.23,7.42,8.02,22.01,196.190002,32.919998,113.949997,14.585,58.796001000000004,55.923542000000005,20.290001,106.660004,10.83,14.755892000000001,43.040001000000004,92.989998,115.910004,46.709998999999996,193.419998,26.893998999999997,27.370001000000002,38.82,64.989998,87.989998,39.599998,99.989998,19.16,34.099998,31.25,26.809998999999998,17.407142999999998,26.67,28.790001,62.68,21.190001000000002,62.52,24.225,40.25,52.639998999999996,76.760002,28.752501000000002,38.459998999999996,34.709998999999996,85.620003
2012-02-19,74.629997,59.650002,28.41,7.46,7.88,21.67,196.0,32.349998,116.0,14.595,58.478001,57.89794200000001,20.139999,109.08000200000001,9.53,15.30303,43.91,90.239998,115.870003,46.98,197.759995,27.948,26.700001,40.349998,64.459999,89.529999,41.561001,100.32,18.49,34.43,31.48,26.690001000000002,15.952857,26.5725,29.25,63.310001,21.18,63.439999,24.15,40.529999,55.220001,76.5,29.385,38.139998999999996,33.860001000000004,87.339996
2012-02-26,77.882858,59.599998,29.799999,7.46,8.13,22.299999,198.25,34.099998,112.489998,14.62,57.919998,59.193881999999995,19.76,109.610001,9.77,15.256734,42.029999,90.779999,119.959999,47.41,198.809998,27.865999,26.92,39.330002,64.769997,88.5,41.278,99.5,18.870001000000002,35.080002,32.080002,26.110001,16.442857999999998,27.184998999999998,29.959999,62.52,21.41,62.43,24.445,41.98,56.59,76.540001,29.040001,38.669998,32.689999,86.33000200000001
2012-03-04,77.88143199999999,60.860001000000004,28.25,7.58,8.05,22.42,196.91000400000001,34.200001,110.220001,14.92,55.312,58.820347,19.799999,109.57,9.37,15.256734,38.779999,91.790001,117.290001,48.099998,200.619995,28.364,27.07,40.880001,64.739998,88.910004,41.952,96.839996,18.370001000000002,36.599998,31.99,26.129998999999998,15.59,27.495001000000002,30.129998999999998,63.150002,21.48,63.93,25.92,42.099998,57.689999,77.160004,29.2925,39.099998,33.48,84.300003
2012-03-11,83.652855,63.619999,28.030001000000002,8.2,9.8,24.139999,205.600006,36.689999,113.58000200000001,14.75,57.889998999999996,58.83559,20.030001000000002,110.279999,9.21,15.862795000000002,38.560001,94.339996,122.93,49.049999,206.009995,27.799999,27.73,42.130001,65.120003,89.32,42.016998,97.660004,19.530001000000002,37.77,32.599998,26.610001,15.708571,27.805,29.74,64.470001,21.940001000000002,65.410004,26.605,45.759997999999996,58.41,78.410004,29.17,39.57,34.209998999999996,86.440002
2012-03-18,85.150002,64.879997,28.27,8.09,9.85,23.950001,201.110001,37.130001,107.83000200000001,14.995,59.202,58.324841000000006,20.530001000000002,106.360001,9.62,15.610270000000002,38.48,92.379997,126.18,49.540001000000004,205.479996,27.896,27.879998999999998,42.279999,64.550003,89.769997,42.401001,95.550003,20.33,37.200001,32.009997999999996,26.639999,17.17,26.855,28.549999,65.300003,21.82,66.68,27.674999,45.630001,58.189999,79.709999,29.695,39.419998,33.560001,85.550003
2012-03-25,85.650002,64.5,30.83,8.02,9.57,24.129998999999998,204.899994,36.549999,106.519997,15.005,57.866001000000004,57.94368000000001,21.15,107.209999,9.92,15.530303,38.040001000000004,91.959999,124.370003,50.310001,208.649994,27.483999,28.120001000000002,42.639998999999996,65.959999,89.860001,42.054001,98.099998,19.639999,36.810001,32.259997999999996,25.9,16.434286,27.110001,29.16,66.349998,22.65,68.059998,27.945,45.5,58.27,80.720001,29.5,38.23,33.490002000000004,86.730003
2012-04-01,90.525711,64.790001,32.889998999999996,7.87,9.23,23.82,205.979996,34.790001000000004,105.870003,14.78,57.585999,57.448177,20.219998999999998,104.75,10.37,14.991582999999999,37.799999,90.389999,118.0,50.619999,205.470001,27.719998999999998,28.07,43.119999,65.339996,90.150002,43.985001000000004,98.620003,18.389999,37.119999,31.52,25.52,15.785714000000002,27.5975,29.559998999999998,66.150002,22.34,67.190002,29.09,44.560001,57.720001,80.18,30.252501000000002,37.66,1.02,84.82
2012-04-08,86.461426,62.549999,32.48,7.73,8.68,23.110001,197.809998,33.41,105.889999,14.75,56.431999,56.12936800000001,19.85,100.779999,10.13,15.202020999999998,36.939999,88.029999,115.089996,50.959998999999996,202.800003,26.610001,28.09,42.27,63.540001000000004,89.300003,44.046001000000004,96.970001,17.280001000000002,35.709998999999996,30.809998999999998,24.57,14.881429,27.2925,28.559998999999998,65.059998,21.85,66.66999799999999,30.834999,43.189999,57.43,79.559998,30.790001,37.259997999999996,33.040001000000004,82.949997
