Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,24.709253,25.188135,24.678022,25.094440,16.542336,27936400
2012-01-08,25.084030,25.823174,25.021568,25.271420,16.658995,21278300
2012-01-15,25.651402,26.005358,24.896643,25.932484,17.094776,21444200
2012-01-22,25.870022,26.281235,25.401550,25.609758,16.882032,24609300
2012-01-29,25.287035,26.942299,25.240187,26.473827,17.540668,37000500
2012-02-05,26.328081,26.546701,25.375523,25.635786,16.985409,21947000
2012-02-12,25.750301,26.046999,25.047594,26.000153,17.226828,30980500
2012-02-19,26.239594,27.062019,26.239594,26.624781,17.640686,19994600
2012-02-26,26.801758,27.327486,26.676832,26.885042,17.813124,24152700
2012-03-04,26.812168,27.639801,26.676832,27.546106,18.251122,29216000
2012-03-11,27.587749,27.978142,27.093252,27.910473,18.617672,26924300
2012-03-18,27.801163,27.926088,27.280640,27.514875,18.353794,16576200
2012-03-25,27.691853,29.492865,27.634596,29.243013,19.506550,58432600
2012-04-01,29.138908,29.216988,28.467434,28.488255,19.003088,20552000
2012-04-08,28.160324,28.529896,27.598160,28.326893,18.895449,35450000
2012-04-15,28.389355,29.086857,28.113478,28.779747,19.197523,22907700
2012-04-22,28.451818,30.060236,28.196762,29.966541,19.989178,30025700
2012-04-29,29.763536,29.898872,28.503870,28.753721,19.268356,27547300
2012-05-06,28.628796,29.055626,27.926088,28.587154,19.156733,24658300
2012-05-13,28.233198,28.878647,27.129688,27.223383,18.242853,29787300
2012-05-20,27.592955,28.925495,27.291050,28.420586,19.045113,24406200
2012-05-27,28.587154,28.691259,26.525881,26.796553,17.956823,22560700
2012-06-03,26.791348,28.155119,26.510265,27.842806,18.657938,20325700
2012-06-10,28.030193,28.108273,26.843399,28.040604,18.916718,23228900
2012-06-17,27.842806,28.269634,27.020378,27.212973,18.358385,24271000
2012-06-24,26.869427,28.123888,26.270824,27.509670,18.558540,27280600
2012-07-01,27.639801,28.342508,27.150509,27.415976,18.495331,15703900
2012-07-08,27.592955,28.071836,26.395750,26.978737,18.200363,36018700
2012-07-15,26.937094,27.671032,26.645601,27.337898,18.442659,22213900
2012-07-22,26.978737,28.196762,26.437391,28.087452,18.948322,32412000
2012-07-29,28.097862,29.305477,27.785547,29.263834,19.838844,33338200
2012-08-05,29.373144,29.669844,29.216988,29.602175,20.068209,16846500
2012-08-12,29.419992,30.252829,29.232603,29.831205,20.223475,21509000
2012-08-19,29.721895,30.044621,29.133703,29.393965,19.927055,16097100
2012-08-26,29.399170,29.857231,29.003572,29.347118,19.895304,26752300
2012-09-02,29.305477,29.826000,28.795362,29.477249,19.983522,18479900
2012-09-09,29.060831,29.300272,28.285250,28.753721,19.613966,48091900
2012-09-16,28.602770,29.404375,28.227993,29.164934,19.894466,83315800
2012-09-23,28.961931,29.336708,28.321688,29.284655,19.976133,73342200
2012-09-30,29.130890,30.638744,29.130890,29.539267,20.149817,38482400
2012-10-07,29.424084,29.581152,28.094240,28.356022,19.342674,31317500
2012-10-14,27.968586,29.298429,27.842932,28.879581,19.808018,20715900
2012-10-21,28.701571,28.879581,27.675392,28.136126,19.298092,17214100
2012-10-28,28.167540,29.319372,28.020943,29.120419,19.973209,9328200
2012-11-04,29.005236,30.209425,28.722513,28.858639,19.793657,15921900
2012-11-11,28.848167,29.298429,27.403141,28.031414,19.226274,25104600
2012-11-18,28.303665,29.193718,27.937172,28.963350,19.865479,12606500
2012-11-25,28.795811,30.052357,28.554974,29.706806,20.375399,17573900
2012-12-02,29.727749,30.146597,28.984293,30.010471,20.583679,16355200
2012-12-09,30.000000,30.366491,29.675392,29.895288,20.637705,14357700
2012-12-16,29.916231,31.078533,29.916231,30.764399,21.237684,18018900
2012-12-23,30.638744,30.764399,29.895288,29.916231,20.652161,8561600
2012-12-30,29.769634,32.020943,29.664921,31.183247,21.526827,15441200
2013-01-06,31.026178,32.198952,30.973822,31.675392,21.866570,13358300
2013-01-13,31.581152,32.942410,31.361256,32.848167,22.676180,12991500
2013-01-20,32.764397,32.931938,32.209423,32.701572,22.574970,10317200
2013-01-27,32.617802,32.701572,31.486912,31.675392,21.972038,16240300
2013-02-03,31.476440,32.293194,31.371727,32.209423,22.342478,13126200
2013-02-10,32.178009,33.727749,32.115185,33.560211,23.279459,15145500
2013-02-17,33.539268,33.958115,32.921467,33.350784,23.134188,12198100
2013-02-24,33.476440,33.853405,32.554974,33.162304,23.003447,14617700
2013-03-03,33.036648,34.020943,32.984295,33.591621,23.301252,11037700
2013-03-10,33.497383,33.769634,32.994766,33.109947,23.097010,10026900
2013-03-17,32.722511,33.089005,32.261780,32.712044,22.819431,13336300
2013-03-24,32.795811,33.581150,32.282722,33.507854,23.374578,9831000
2013-03-31,33.612564,33.675392,32.408379,32.575916,22.724476,14890100
2013-04-07,32.481674,34.314137,32.481674,33.769634,23.557196,15426600
2013-04-14,33.570683,33.821991,32.198952,32.795811,22.877863,13768300
2013-04-21,32.795811,34.502617,32.062828,32.900524,22.950914,24655100
2013-04-28,33.068062,34.219894,32.973824,33.539268,23.517679,25498000
2013-05-05,33.497383,35.612564,33.465969,35.465969,24.868683,16652100
2013-05-12,35.434555,36.052357,35.329842,35.874344,25.155043,11399500
2013-05-19,35.759163,36.020943,35.329842,35.884815,25.162369,14593100
2013-05-26,36.209423,36.324608,35.403141,35.403141,24.824627,10021400
2013-06-02,35.413612,36.460732,34.649216,35.895287,25.169725,16523400
2013-06-09,35.905758,36.146595,34.554974,34.879581,24.589907,19454100
2013-06-16,35.078533,35.497383,33.382198,33.937172,23.925508,23800200
2013-06-23,33.675392,34.586388,33.193718,34.502617,24.324144,40806100
2013-06-30,35.214661,36.366493,35.047119,36.198952,25.520048,13706600
2013-07-07,36.439789,37.298428,36.240837,36.732983,25.896542,16121300
2013-07-14,36.900524,37.434555,36.659687,37.193718,26.221363,9688900
2013-07-21,37.298428,37.319370,35.989529,36.219894,25.534817,11857100
2013-07-28,36.198952,37.371727,35.633507,37.371727,26.467785,13828900
2013-08-04,37.225132,37.643978,36.753925,36.816753,26.074732,12116800
2013-08-11,36.628273,36.952881,35.539268,35.874344,25.407295,12337800
2013-08-18,35.821991,36.272251,35.277489,35.424084,25.088406,11581700
2013-08-25,35.434555,35.842934,34.460732,34.596859,24.502535,12920300
2013-09-01,35.036648,35.591621,34.387436,35.193718,24.925245,8832000
