Date,Growth
2010-01-01,0.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,0.002377381953842262
2010-01-05,-0.0019630652900975002
2010-01-06,-0.015917534785459354
2010-01-07,-0.0051645270768775646
2010-01-08,0.0074593631707860365
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,-0.013456038718193314
2010-01-12,-0.007647541595165198
2010-01-13,0.012231727450097707
2010-01-14,-0.0028999516674720546
2010-01-15,-0.025966830421453087
2010-01-16,0.0
2010-01-17,0.0
2010-01-18,0.0
2010-01-19,0.03192565668677648
2010-01-20,-0.014860298659303217
2010-01-21,-0.01993599882296679
2010-01-22,-0.043765576618080164
2010-01-23,0.0
2010-01-24,0.0
2010-01-25,0.0011934552454282504
2010-01-26,0.00034140050072074737
2010-01-27,0.005059276598957952
2010-01-28,-0.02939834182703277
2010-01-29,-0.04603987277945845
2010-01-30,0.0
2010-01-31,0.0
2010-02-01,0.011109759558853237
2010-02-02,-0.0003985492806184692
2010-02-03,0.02031593681263758
2010-02-04,-0.02439604903010823
2010-02-05,0.01442697357756517
2010-02-06,0.0
2010-02-07,0.0
2010-02-08,-0.007980845969672757
2010-02-09,-0.0014307857398353728
2010-02-10,-0.0034694528632955714
2010-02-11,0.01992463117382923
2010-02-12,0.01111154891839696
2010-02-13,0.0
2010-02-14,0.0
2010-02-15,0.0
2010-02-16,0.007192019178717946
2010-02-17,-0.00829637559259821
2010-02-18,0.006467603888308166
2010-02-19,-0.0008510967542265472
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,-0.010066725807073677
2010-02-23,-0.014179687500000121
2010-02-24,0.01093627065302906
2010-02-25,0.023421427441050892
2010-02-26,0.010606294353594652
2010-02-27,0.0
2010-02-28,0.0
2010-03-01,0.015826628207074464
2010-03-02,-0.005169784654293741
2010-03-03,0.0007466029565478246
2010-03-04,0.0063772656075184375
2010-03-05,0.018377946464242918
2010-03-06,0.0
2010-03-07,0.0
2010-03-08,-0.004117709701466034
2010-03-09,0.02222779010666471
2010-03-10,0.005026178010471271
2010-03-11,0.007325240686479603
2010-03-12,-0.0019603796945934313
2010-03-13,0.0
2010-03-14,0.0
2010-03-15,-0.007341228616940223
2010-03-16,0.001184338860247853
2010-03-17,-0.0030568292344032573
2010-03-18,0.003278116826503965
2010-03-19,-0.01286675452590687
2010-03-20,0.0
2010-03-21,0.0
2010-03-22,0.019336331763289406
2010-03-23,0.01193812934703619
2010-03-24,0.0066145726232091934
2010-03-25,-0.0181971926264165
2010-03-26,0.008320261883652723
2010-03-27,0.0
2010-03-28,0.0
2010-03-29,-0.002246362234292234
2010-03-30,-0.0034643175294467128
2010-03-31,-0.003641901734869535
2010-04-01,-0.007162335315569749
2010-04-02,0.0
2010-04-03,0.0
2010-04-04,0.0
2010-04-05,0.014953643704515974
2010-04-06,0.005276439550355514
2010-04-07,0.00364820846905532
2010-04-08,-0.0018839120407964345
2010-04-09,0.0012935355560585696
2010-04-10,0.0
2010-04-11,0.0
2010-04-12,-0.0026038318117527024
2010-04-13,0.0008381689232752999
2010-04-14,0.002165881003949592
2010-04-15,0.012000761953139772
2010-04-16,-0.006429153860628547
2010-04-17,0.0
2010-04-18,0.0
2010-04-19,0.0021220663224907413
2010-04-20,-0.01854869031206914
2010-04-21,0.0037190457472862323
2010-04-22,0.03211952576820704
2010-04-23,0.014271509621570814
2010-04-24,0.0
2010-04-25,0.0
2010-04-26,-0.00904418731516833
2010-04-27,-0.01857159569489954
2010-04-28,-0.0052555004602276405
2010-04-29,0.021195119779143252
2010-04-30,-0.032018064441420885
2010-05-01,0.0
2010-05-02,0.0
2010-05-03,0.00732406012817119
2010-05-04,-0.014429799767933101
2010-05-05,0.012289640265555141
2010-05-06,-0.030406444075508743
2010-05-07,-0.033315198259032876
2010-05-08,0.0
2010-05-09,0.0
2010-05-10,0.011223728391990956
2010-05-11,0.018003222607833512
2010-05-12,0.00947396914192901
2010-05-13,-0.018598718557190183
2010-05-14,-0.005568303503136061
2010-05-15,0.0
2010-05-16,0.0
2010-05-17,0.00018433746044426027
2010-05-18,-0.018227109787957784
2010-05-19,-0.004507324402153448
2010-05-20,-0.015074076470207707
2010-05-21,0.0460812405191302
2010-05-22,0.0
2010-05-23,0.0
2010-05-24,-0.0020528044466902877
2010-05-25,0.022133975652626776
2010-05-26,-0.024311840709069343
2010-05-27,0.010496153486778686
2010-05-28,-0.008858089786080053
2010-05-29,0.0
2010-05-30,0.0
2010-05-31,0.0
2010-06-01,0.004359984364194098
2010-06-02,-0.0029495914815796335
2010-06-03,-0.007802838466521424
2010-06-04,-0.00969788519637456
2010-06-05,0.0
2010-06-06,0.0
2010-06-07,-0.028833076434853375
2010-06-08,-0.016086782335356976
2010-06-09,-0.03327539111000742
2010-06-10,0.023381180223285388
2010-06-11,0.02152161600906188
2010-06-12,0.0
2010-06-13,0.0
2010-06-14,-0.0071047415764599504
2010-06-15,0.016039839907121645
2010-06-16,0.023874345549738277
2010-06-17,0.004327006288582637
2010-06-18,0.006740670625017911
2010-06-19,0.0
2010-06-20,0.0
2010-06-21,-0.027242823807247917
2010-06-22,0.005908843186186016
2010-06-23,-0.013111117431244802
2010-06-24,-0.007291066282420957
2010-06-25,-0.012318903444087646
2010-06-26,0.0
2010-06-27,0.0
2010-06-28,0.00494282121025992
2010-06-29,-0.03101370510396988
2010-06-30,-0.020226906347902765
2010-07-01,-0.0220945239997542
2010-07-02,-0.014951873656667614
2010-07-03,0.0
2010-07-04,0.0
2010-07-05,0.0
2010-07-06,0.006925339151883048
