,Date,Growth,Score
132,2010-05-13,-0.018598718557190183,0.0
133,2010-05-14,-0.005568303503136061,0.4019
134,2010-05-15,0.0,0.0
135,2010-05-16,0.0,0.0
136,2010-05-17,0.00018433746044426027,0.0
137,2010-05-18,-0.018227109787957784,0.0
138,2010-05-19,-0.004507324402153448,0.0
139,2010-05-20,-0.01507407647020771,0.0
140,2010-05-21,0.0460812405191302,0.0
141,2010-05-22,0.0,0.0
142,2010-05-23,0.0,0.0
143,2010-05-24,-0.0020528044466902877,0.0
144,2010-05-25,0.022133975652626776,0.0
145,2010-05-26,-0.024311840709069343,0.0
146,2010-05-27,0.010496153486778686,0.0
147,2010-05-28,-0.008858089786080053,-0.1531
148,2010-05-29,0.0,0.0
149,2010-05-30,0.0,0.0
150,2010-05-31,0.0,0.0
151,2010-06-01,0.0043599843641940975,0.0
152,2010-06-02,-0.0029495914815796326,0.0
153,2010-06-03,-0.007802838466521423,0.0
154,2010-06-04,-0.009697885196374559,0.0
155,2010-06-05,0.0,0.0
156,2010-06-06,0.0,0.0
157,2010-06-07,-0.028833076434853375,-0.5719
158,2010-06-08,-0.016086782335356976,0.0
159,2010-06-09,-0.03327539111000742,0.0
160,2010-06-10,0.023381180223285388,0.3612
161,2010-06-11,0.02152161600906188,0.0
162,2010-06-12,0.0,0.0
163,2010-06-13,0.0,0.0
164,2010-06-14,-0.00710474157645995,0.3612
165,2010-06-15,0.016039839907121645,0.0
166,2010-06-16,0.02387434554973828,0.0
167,2010-06-17,0.0043270062885826365,0.0
168,2010-06-18,0.0067406706250179105,0.0
169,2010-06-19,0.0,0.0
170,2010-06-20,0.0,0.0
171,2010-06-21,-0.027242823807247917,0.0
172,2010-06-22,0.005908843186186016,0.0
173,2010-06-23,-0.013111117431244802,0.0
174,2010-06-24,-0.007291066282420956,0.0
175,2010-06-25,-0.012318903444087646,0.0
176,2010-06-26,0.0,0.0
177,2010-06-27,0.0,0.0
178,2010-06-28,0.004942821210259921,0.0
179,2010-06-29,-0.03101370510396988,0.0
180,2010-06-30,-0.02022690634790276,0.0
181,2010-07-01,-0.0220945239997542,0.0
182,2010-07-02,-0.014951873656667612,0.0
183,2010-07-03,0.0,0.0
184,2010-07-04,0.0,0.0
185,2010-07-05,0.0,0.0
186,2010-07-06,0.006925339151883048,0.0
187,2010-07-07,0.032092226203458515,0.0
188,2010-07-08,-0.017070124308570692,0.0
189,2010-07-09,0.01057782911334688,0.0
190,2010-07-10,0.0,0.0
191,2010-07-11,0.0,0.0
192,2010-07-12,-0.004772260480850586,0.0
193,2010-07-13,-0.017158879644021678,0.0
194,2010-07-14,0.014258853024130425,0.0
195,2010-07-15,0.012737851863500585,0.0
196,2010-07-16,-0.012435584904495905,0.0
197,2010-07-17,0.0,0.0
198,2010-07-18,0.0,0.0
199,2010-07-19,-0.016665624413732653,0.0
200,2010-07-20,0.03890248615226068,0.0
201,2010-07-21,-0.04066478076379074,0.0
202,2010-07-22,0.0050599927281542115,0.0
203,2010-07-23,0.010595342906585013,0.0
204,2010-07-24,0.0,0.0
205,2010-07-25,0.0,0.0
206,2010-07-26,-0.002673234613882757,0.0
207,2010-07-27,0.013120843568390222,0.0
208,2010-07-28,-0.010335228618810607,0.0
209,2010-07-29,-0.009943990175816956,0.0
210,2010-07-30,0.005923664122137485,0.0
211,2010-07-31,0.0,0.0
212,2010-08-01,0.0,-0.2732
213,2010-08-02,0.005396977692492196,0.0
214,2010-08-03,0.00035786711201263153,0.0
215,2010-08-04,0.0008321198252547979,0.0
216,2010-08-05,0.000836195311333606,-0.1027
217,2010-08-06,0.0015034428842047435,0.0
218,2010-08-07,0.0,0.0
219,2010-08-08,0.0,0.0
220,2010-08-09,0.0010153496983815933,0.0
221,2010-08-10,-0.0016528428897703968,0.0
222,2010-08-11,-0.01946382666177019,0.0
223,2010-08-12,0.021121631463947608,0.0
224,2010-08-13,-0.007652585080569969,0.0
225,2010-08-14,0.0,0.0
226,2010-08-15,0.0,0.0
227,2010-08-16,-0.00034672970843181185,0.0
228,2010-08-17,0.007399313143927405,0.0
229,2010-08-18,0.0020406901242966576,0.4019
230,2010-08-19,-0.011460521438280065,0.0
231,2010-08-20,0.0011273604108601699,0.0
232,2010-08-21,0.0,0.0
233,2010-08-22,0.0,0.0
234,2010-08-23,-0.02366551905958246,-0.5423
235,2010-08-24,-0.012660668380462786,0.0
236,2010-08-25,0.0123673761635097,0.0
237,2010-08-26,-0.021091140448544626,-0.4767
238,2010-08-27,0.0003556187766714983,0.0
239,2010-08-28,0.0,0.0
240,2010-08-29,0.0,0.0
241,2010-08-30,0.0073305222186182,-0.5994
242,2010-08-31,0.00545812744243119,0.0
243,2010-09-01,0.011452549217566872,0.0
244,2010-09-02,0.003137425447316075,0.0
245,2010-09-03,0.01507029742395946,0.25
246,2010-09-04,0.0,-0.2023
247,2010-09-05,0.0,0.0
248,2010-09-06,0.0,0.0
249,2010-09-07,0.004992085717764565,0.0
250,2010-09-08,0.012235817575083316,0.0
251,2010-09-09,-0.007717003917410399,0.0
252,2010-09-10,0.0007713760161396593,0.0
253,2010-09-11,0.0,0.0
254,2010-09-12,0.0,0.0
255,2010-09-13,0.004081153292815494,0.0
256,2010-09-14,0.007129026579827556,0.0
257,2010-09-15,0.008304195804195705,0.0
258,2010-09-16,0.023315613082168302,0.0
259,2010-09-17,-0.007794034890264321,0.0
260,2010-09-18,0.0,0.0
261,2010-09-19,0.0,0.0
262,2010-09-20,0.025820865974716386,0.0
263,2010-09-21,-0.00013756671985900657,0.0
264,2010-09-22,0.01711288987027338,0.0
265,2010-09-23,0.008504143044047034,0.2263
